ID_CLIENT;ORIGINE_LEAD;SOURCE_LEAD;NIVEAU_LEAD;QUALITE_LEAD;CONTACT_PAR_MAIL;CONTACT_PAR_TELEPHONE;STATUT_ACTUEL;CONVERTI;NB_VISITES;DUREE_SUR_SITEWEB;NB_PAGES_VUES_PAR_VISITE;DERNIERE_ACTIVITE;DERNIERE_ACTIVITE_NOTABLE;PAYS;VILLE;SPECIALISATION;TAGS;INDEX_ACTIVITE;INDEX_PROFIL;SCORE_ACTIVITE;SCORE_PROFIL;ANNONCE_VUE;MAGAZINE;ARTICLE_JOURNAL;FORUM;JOURNAUX;PUB_DIGITALE;RECOMMANDATION;Comment avez-vous entendu parler de nous ?;Souhaites-tu recevoir plus d'infos sur notre cours ?;Souhaites-tu recevoir des mises à jour sur nos programmes ?;Souhaites-tu recevoir des mises à jour par message privé ?;Souhaites-tu payer par chèque ?;Souhaites-tu recevoir une copie de notre livre blanc ?
590478;Soumission landing page;Direct Traffic;Etudiant d'une certaine école;Pas du tout pertinent;Non;Non;Sans emploi;0;1.0;281;1.0;Converti en lead;Modifié;India;Autres villes de Maharashtra;Human Resource Management;Déjà un étudiant;Elevé;Elevé;16.0;17.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
655375;Soumission landing page;Google;Select;Pourrait être pertinent;Non;Non;Sans emploi;1;3.0;267;3.0;SMS envoyé;Modifié;India;Thane et sa périphérie;Finance Management;Reviendra après avoir lu le courriel;Moyen;Elevé;15.0;17.0;Non;Non;Non;Non;Non;Non;Non;Bouche à oreille;Non;Non;Non;Non;Non
659875;Soumission landing page;Google;Select;Pourrait être pertinent;Non;Non;Sans emploi;1;1.0;157;1.0;Converti en lead;Modifié;India;Autres villes de Maharashtra;Hospitality Management;Reviendra après avoir lu le courriel;Moyen;Moyen;15.0;14.0;Non;Non;Non;Non;Non;Non;Non;Bouche à oreille;Non;Non;Non;Non;Non
646673;Soumission landing page;Direct Traffic;Select;;Non;Non;Sans emploi;0;2.0;1497;2.0;SMS envoyé;Modifié;India;Autres villes;Finance Management;Appelé;Moyen;Moyen;14.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
655011;API;Referral Sites;Select;;Non;Non;Sans emploi;0;11.0;101;5.5;Email ouvert;Modifié;India;Select;Select;Intéressé par d'autres cours;Moyen;Moyen;15.0;13.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
644111;API;Organic Search;;;Non;Non;;0;2.0;1978;2.0;SMS envoyé;Modifié;India;;;;Moyen;Moyen;13.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
579701;Soumission landing page;Google;Lead potentiel;;Non;Non;Sans emploi;0;2.0;870;2.0;Email ouvert;Email ouvert;India;Mumbai;Human Resource Management;Reviendra après avoir lu le courriel;Moyen;Elevé;13.0;20.0;Non;Non;Non;Non;Non;Non;Non;Recherche en ligne;Non;Non;Non;Non;Non
613809;Soumission landing page;Google;Autre leads;Pas sur;Non;Non;Sans emploi;0;6.0;324;3.0;Email ouvert;Email ouvert;India;Mumbai;Banking, Investment And Insurance;;;;;;Non;Non;Non;Non;Non;Non;Non;Autre;Non;Non;Non;Non;Non
632374;Soumission landing page;Direct Traffic;Select;Pourrait être pertinent;Non;Non;Professionnel en activité;1;4.0;1655;1.33;SMS envoyé;SMS envoyé;India;Mumbai;Business Administration;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
594366;API;Google;;;Non;Non;;1;4.0;699;4.0;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;IT Projects Management;;;;;;Non;Non;Non;Non;Non;Non;Non;Etudiant d'une certaine école;Non;Non;Non;Non;Non
587384;Formulaire Lead Add;Reference;Select;;Oui;Non;Sans emploi;0;0.0;0;0.0;SMS envoyé;SMS envoyé;;Select;Select;Appelé;Moyen;Elevé;13.0;17.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
605767;Soumission landing page;Direct Traffic;;;Non;Non;;1;8.0;1594;2.67;SMS envoyé;SMS envoyé;India;Autres villes métropolitaines;Human Resource Management;;;;;;Non;Non;Non;Non;Non;Non;Non;Recherche en ligne;Non;Non;Non;Non;Oui
603154;API;Direct Traffic;Select;;Non;Non;Sans emploi;0;3.0;34;3.0;Email ouvert;Email ouvert;India;Mumbai;Business Administration;Appelé;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
644286;Soumission landing page;Google;Select;Pourrait être pertinent;Non;Non;Sans emploi;0;6.0;101;6.0;Page visitée sur le site;Page visitée sur le site;India;Mumbai;Banking, Investment And Insurance;Appelé;Moyen;Elevé;14.0;18.0;Non;Non;Non;Non;Non;Non;Non;Autre;Non;Non;Non;Non;Non
592772;API;Organic Search;Autre leads;Peu pertinent;Non;Non;Sans emploi;1;13.0;424;4.33;Email ouvert;Email ouvert;India;Autres villes;Human Resource Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
584219;API;Google;;;Non;Non;;0;1.0;360;1.0;Converti en lead;Modifié;India;;;;Moyen;Moyen;14.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
589439;Soumission landing page;Direct Traffic;;;Non;Non;;1;4.0;1319;4.0;Email ouvert;Modifié;India;Mumbai;Business Administration;;Moyen;Elevé;14.0;18.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui
621352;Soumission landing page;Direct Traffic;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;3.0;950;3.0;Email ouvert;Modifié;India;Mumbai;Human Resource Management;Perdu au profit d'un concurrent;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
657148;API;Organic Search;Select;Pourrait être pertinent;Non;Non;Sans emploi;1;3.0;117;3.0;Conversation Chat;Modifié;India;Select;Select;Reviendra après avoir lu le courriel;Moyen;Moyen;15.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
644225;API;Google;;;Non;Non;;0;6.0;481;6.0;Email ouvert;Modifié;India;;;Intéressé par d'autres cours;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
633239;API;Google;Select;;Non;Non;Sans emploi;1;2.0;1001;1.0;Email ouvert;Email ouvert;India;Select;Select;;Moyen;Moyen;15.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
610270;Soumission landing page;Direct Traffic;;;Oui;Non;;0;1.0;322;1.0;Email rejeté;Modifié;India;Mumbai;IT Projects Management;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
587944;Formulaire Lead Add;Welingak Website;Select;Pourrait être pertinent;Non;Non;Sans emploi;1;0.0;0;0.0;Email ouvert;Email ouvert;;Mumbai;Finance Management;Fermé;Moyen;Elevé;14.0;17.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
634758;API;Google;;;Non;Non;;0;2.0;889;2.0;Email ouvert;Modifié;India;;;Intéressé par d'autres cours;Moyen;Moyen;13.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
625850;Soumission landing page;Direct Traffic;;;Non;Non;;1;4.0;1023;1.33;Email ouvert;Modifié;India;Autres villes;Marketing Management;Perdu au profit d'un concurrent;;;;;Non;Non;Non;Non;Non;Non;Non;Recherche en ligne;Non;Non;Non;Non;Non
614071;API;Olark Chat;Autre leads;Pas sur;Non;Non;Sans emploi;0;0.0;0;0.0;Conversation Chat;Modifié;;Select;Finance Management;Appelé;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
586820;Soumission landing page;Direct Traffic;Autre leads;Pas du tout pertinent;Non;Non;Sans emploi;0;2.0;351;2.0;Email ouvert;Modifié;India;Mumbai;Banking, Investment And Insurance;Déjà un étudiant;Moyen;Elevé;15.0;18.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
643215;API;Google;Select;;Non;Non;Sans emploi;1;3.0;1213;1.5;Email ouvert;Email ouvert;India;Select;Select;;Moyen;Moyen;15.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
626333;Soumission landing page;Google;Etudiant d'une certaine école;Pas du tout pertinent;Non;Non;Sans emploi;0;6.0;1904;6.0;Email ouvert;Email ouvert;India;Mumbai;International Business;Déjà un étudiant;;;;;Non;Non;Non;Non;Non;Non;Non;Etudiant d'une certaine école;Non;Non;Non;Non;Non
585266;Soumission landing page;Direct Traffic;Select;Pas du tout pertinent;Oui;Non;Sans emploi;0;2.0;131;2.0;SMS envoyé;SMS envoyé;India;Villes de niveau II;Travel and Tourism;Numéro invalide;Moyen;Moyen;13.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
630701;API;Organic Search;Autre leads;Pas du tout pertinent;Non;Non;Sans emploi;0;8.0;58;2.67;Email ouvert;Modifié;India;Select;Select;Intéressé par d'autres cours;Moyen;Moyen;13.0;14.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
583118;API;Olark Chat;Lead potentiel;Pas sur;Non;Non;Sans emploi;0;0.0;0;0.0;Email ouvert;Email ouvert;;Select;Select;Diplôme en cours;Faible;Moyen;12.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
630695;Soumission landing page;Google;Lead potentiel;Peu pertinent;Non;Non;Sans emploi;1;6.0;1234;2.0;Email ouvert;Email ouvert;India;Autres villes;Human Resource Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Autre;Non;Non;Non;Non;Non
601352;API;Direct Traffic;Lead potentiel;Peu pertinent;Non;Non;Sans emploi;1;5.0;35;1.25;Email ouvert;Email ouvert;;Autres villes;Select;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
603626;API;Google;;;Non;Non;;0;3.0;362;1.5;Email ouvert;Modifié;unknown;;;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
616130;API;Google;Select;Pourrait être pertinent;Non;Non;Sans emploi;1;3.0;1490;3.0;SMS envoyé;SMS envoyé;India;Select;Select;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
582730;API;Olark Chat;;;Non;Non;;0;0.0;0;0.0;Email ouvert;Email ouvert;;;;;Elevé;Moyen;17.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
591832;API;Olark Chat;;;Non;Non;;0;0.0;0;0.0;Email ouvert;Email ouvert;;;;;Moyen;Moyen;14.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
598730;Soumission landing page;Google;Select;;Non;Non;Sans emploi;0;3.0;338;3.0;Email ouvert;Email ouvert;India;Mumbai;Human Resource Management;Appelé;;;;;Non;Non;Non;Non;Non;Non;Non;Sources diverses;Non;Non;Non;Non;Non
590668;Soumission landing page;Google;Select;;Non;Non;Sans emploi;1;5.0;1280;5.0;SMS envoyé;SMS envoyé;India;Mumbai;IT Projects Management;;Moyen;Moyen;15.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
635794;API;Olark Chat;;;Non;Non;;1;11.0;788;1.57;Email ouvert;Email ouvert;India;Autres villes;Healthcare Management;;Elevé;Faible;16.0;11.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
637839;API;Olark Chat;;;Non;Non;;0;0.0;0;0.0;Conversation Chat;Conversation Chat;;;;;Elevé;Moyen;17.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
621746;API;Organic Search;Select;;Non;Non;Sans emploi;0;3.0;206;1.5;Converti en lead;Modifié;India;Select;Select;Appelé;Moyen;Moyen;13.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
607643;Soumission landing page;Organic Search;;;Non;Non;;0;7.0;1087;7.0;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;Operations Management;;;;;;Non;Non;Non;Non;Non;Non;Non;Recherche en ligne;Non;Non;Non;Non;Non
597646;Soumission landing page;Direct Traffic;;;Oui;Non;;0;1.0;384;1.0;Email rejeté;Modifié;India;Mumbai;Human Resource Management;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui
626897;Soumission landing page;Direct Traffic;;;Non;Non;;0;5.0;1417;5.0;Email ouvert;Email ouvert;India;Mumbai;Finance Management;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui
627833;Soumission landing page;Direct Traffic;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;4.0;1495;4.0;Email ouvert;Email ouvert;India;Mumbai;Marketing Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
599452;Formulaire Lead Add;Reference;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;;1796;;;Modifié;;Mumbai;Finance Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
596425;API;Organic Search;Select;Pas sur;Non;Non;Sans emploi;1;3.0;1508;3.0;SMS envoyé;SMS envoyé;India;Select;Select;Appelé;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
589162;Soumission landing page;Google;Select;Pas du tout pertinent;Non;Non;Sans emploi;0;3.0;239;3.0;Email ouvert;Email ouvert;India;Mumbai;Media and Advertising;Intéressé par un MBA full-time;Moyen;Elevé;14.0;17.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
628225;API;Organic Search;;;Non;Non;;0;6.0;211;6.0;Page visitée sur le site;Page visitée sur le site;India;;;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
592664;API;Google;Select;;Non;Non;Sans emploi;0;2.0;291;1.0;Email ouvert;Email ouvert;India;Select;Select;;Elevé;Moyen;16.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
627438;Soumission landing page;Direct Traffic;Select;Pourrait être pertinent;Non;Non;Sans emploi;0;5.0;576;5.0;SMS envoyé;SMS envoyé;India;Autres villes de Maharashtra;IT Projects Management;Occupé;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
630437;API;Olark Chat;Select;;Non;Non;Sans emploi;1;0.0;0;0.0;SMS envoyé;SMS envoyé;;Select;Select;;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
660361;API;Referral Sites;Select;Peu pertinent;Non;Non;Sans emploi;0;4.0;223;2.0;Page visitée sur le site;Modifié;India;Select;Select;Intéressé par d'autres cours;Moyen;Moyen;15.0;13.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
582193;API;Olark Chat;Lead potentiel;;Non;Non;Sans emploi;0;0.0;0;0.0;A cliqué sur le lien dans le mail;A cliqué sur le lien dans le mail;;Select;Select;Intéressé par d'autres cours;Moyen;Moyen;14.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
610383;Soumission landing page;Direct Traffic;Select;Pourrait être pertinent;Non;Non;Sans emploi;0;3.0;952;3.0;SMS envoyé;SMS envoyé;United States;Mumbai;Finance Management;Appelé;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
601227;API;Organic Search;Select;;Non;Non;Sans emploi;1;12.0;249;1.71;Email ouvert;Email ouvert;India;Select;Select;;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
593083;Soumission landing page;Direct Traffic;Select;Pas sur;Non;Non;Sans emploi;0;3.0;979;1.5;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;Operations Management;Mauvais numéro;Moyen;Moyen;14.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
609372;Soumission landing page;Direct Traffic;;;Non;Non;;1;4.0;1445;4.0;SMS envoyé;SMS envoyé;India;Mumbai;Healthcare Management;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Oui
656875;API;Google;Select;;Non;Non;Sans emploi;0;3.0;445;3.0;A cliqué sur le lien dans le mail;Modifié;India;Select;Select;Appelé;Faible;Moyen;12.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
591423;API;Olark Chat;;;Non;Non;;0;0.0;0;0.0;A cliqué sur le lien dans le mail;A cliqué sur le lien dans le mail;;;;;Elevé;Moyen;16.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
629507;API;Google;Select;;Non;Non;Sans emploi;1;2.0;777;1.0;SMS envoyé;SMS envoyé;India;Select;Select;;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
583811;Soumission landing page;Google;;;Non;Non;;1;9.0;665;2.25;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;Marketing Management;;Moyen;Elevé;15.0;17.0;Non;Non;Non;Non;Non;Non;Non;Bouche à oreille;Non;Non;Non;Non;Non
631704;API;Google;;;Non;Non;;0;2.0;270;2.0;Email ouvert;Email ouvert;India;;;;;;;;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
637410;Soumission landing page;Google;Select;;Non;Non;Sans emploi;0;6.0;30;6.0;Email ouvert;Modifié;India;Mumbai;Finance Management;Intéressé par d'autres cours;Moyen;Elevé;14.0;18.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
600391;API;Google;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;2.0;1461;2.0;SMS envoyé;SMS envoyé;India;Thane et sa périphérie;Finance Management;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
595846;API;Olark Chat;;;Non;Non;;0;0.0;0;0.0;A cliqué sur le lien dans le mail;A cliqué sur le lien dans le mail;;;;;Elevé;Moyen;17.0;15.0;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non
652035;Formulaire Lead Add;Welingak Website;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;0.0;0;0.0;Email ouvert;Email ouvert;;Autres villes;Human Resource Management;Reviendra après avoir lu le courriel;Moyen;Moyen;14.0;16.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
634882;Soumission landing page;Direct Traffic;Lead potentiel;Pas sur;Non;Non;Sans emploi;0;27.0;386;5.4;Page visitée sur le site;Page visitée sur le site;India;Autres villes;Rural and Agribusiness;Appelé;Elevé;Moyen;16.0;15.0;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Oui
594961;API;Organic Search;Select;Pas sur;Non;Non;Sans emploi;1;4.0;763;2.0;SMS envoyé;SMS envoyé;India;Select;Human Resource Management;Occupé;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
613659;Formulaire Lead Add;Reference;Lead potentiel;Très pertinent;Non;Non;Sans emploi;1;3.0;1678;3.0;Email ouvert;Email ouvert;;Thane et sa périphérie;Banking, Investment And Insurance;Reviendra après avoir lu le courriel;;;;;Non;Non;Non;Non;Non;Non;Non;Select;Non;Non;Non;Non;Non
